Name,,Artist,Features,Streams,Week
3005,,2 Chainz,,1324242,1/20/2017
4422,,2 Chainz,,1264694,3/31/2017
4422,,2 Chainz,,1189312,3/31/2017
4422,,2 Chainz,,1470706,5/4/2018
4422,,2 Chainz,,1478372,5/11/2018
4422,,2 Chainz,,1354450,3/24/2017
4422,,2 Chainz,,3259486,8/11/2017
5200,,2 Chainz,,2727864,8/11/2017
14-Mar,,2 Chainz,,2105622,11/24/2017
14-Mar,,2 Chainz,,1498207,11/24/2017
14-Mar,,2 Chainz,"Drake, Quavo",1683589,9/7/2018
134340,,2 Chainz,,1313109,6/2/2017
$$$ - with Matt Ox,,2 Chainz,,2753665,6/16/2017
$$$ - with Matt Ox,,2 Chainz,,1602219,6/16/2017
$$$ - with Matt Ox,,2 Chainz,"Drake, Quavo",2567343,7/13/2018
$$$ - with Matt Ox,,2 Chainz,,1699295,2/23/2018
$$$ - with Matt Ox,,2 Chainz,,1505470,2/23/2018
$$$ - with Matt Ox,,2 Chainz,Travis Scott,2131864,3/15/2019
(Fuck A) Silver Lining,,2 Chainz,Ariana Grande,1565303,3/15/2019
(Fuck A) Silver Lining,,2 Chainz,,1385191,1/27/2017
...Ready For It?,,2 Chainz,"Drake, Quavo",2550512,7/6/2018
...Ready For It?,,2 Chainz,,1724005,2/9/2018
...Ready For It?,,2 Chainz,"Drake, Quavo",1686203,9/28/2018
...Ready For It?,,2 Chainz,"Drake, Quavo",1628365,9/14/2018
...Ready For It?,,21 Savage,,1868652,7/20/2018
...Ready For It?,,21 Savage,,6675162,11/10/2017
...Ready For It?,,21 Savage,,6006967,11/10/2017
...Ready For It?,,21 Savage,,3071292,11/10/2017
...Ready For It?,,21 Savage,,2952469,11/10/2017
...Ready For It?,,21 Savage,,2124535,11/10/2017
...Ready For It?,,21 Savage,,2010320,11/10/2017
...Ready For It?,,21 Savage,Future,1605483,11/10/2017
...Ready For It?,,21 Savage,,1531667,11/10/2017
...Ready For It?,,21 Savage,,1476892,11/10/2017
...Ready For It?,,21 Savage,,1408583,11/10/2017
...Ready For It?,,21 Savage,,8301827,8/25/2017
...Ready For It?,,21 Savage,,1750943,8/25/2017
...Ready For It?,,21 Savage,Future,1518243,8/25/2017
...Ready For It?,,21 Savage,,1192293,8/25/2017
...Ready For It?,,21 Savage,,2939106,3/10/2017
...Ready For It?,,21 Savage,Future,2922329,3/10/2017
1 SIDED LOVE,,21 Savage,,2338504,5/25/2018
"1, 2, 3 ",,21 Savage,,4644463,4/12/2019
"1, 2, 3 ",,21 Savage,,2489126,5/18/2018
10 Feet,,21 Savage,,8021330,12/28/2018
10 Freaky Girls ,,21 Savage,,6121817,12/28/2018
10 Freaky Girls ,,21 Savage,,5616199,12/28/2018
10 Freaky Girls ,,21 Savage,,4129975,12/28/2018
10 Freaky Girls ,,21 Savage,,3793541,12/28/2018
10 Freaky Girls ,,21 Savage,,3755122,12/28/2018
10 Freaky Girls ,,21 Savage,,3539804,12/28/2018
10 Freaky Girls ,,21 Savage,,3463956,12/28/2018
10 Freaky Girls ,,21 Savage,,3382025,12/28/2018
10 Freaky Girls ,,21 Savage,,3357717,12/28/2018
10 Freaky Girls ,,21 Savage,,2920007,12/28/2018
10 Freaky Girls ,,21 Savage,,2399861,12/28/2018
10 Freaky Girls ,,21 Savage,,2214199,12/28/2018
10 Freaky Girls ,,21 Savage,,2150137,12/28/2018
10 Freaky Girls ,,21 Savage,,2087050,12/28/2018
10 Freaky Girls ,,21 Savage,,8174720,8/18/2017
10 Freaky Girls ,,21 Savage,,1888992,8/18/2017
10 Freaky Girls ,,21 Savage,Future,1494923,8/18/2017
10 Freaky Girls ,,21 Savage,,1165794,8/18/2017
10 Freaky Girls ,,21 Savage,Future,1742675,6/9/2017
10 Freaky Girls ,,21 Savage,,1363960,6/9/2017
10 Freaky Girls ,,21 Savage,,1589668,10/5/2018
10 Freaky Girls ,,21 Savage,,2951028,6/14/2019
100 Bands ,,21 Savage,,2495694,6/28/2019
100 Miles and Running (ft. Wale & John Lindahl),,21 Savage,Future,1616955,6/23/2017
10AM/Save The World ,,21 Savage,,1280911,6/23/2017
11 Minutes ,,21 Savage,,5111802,4/5/2019
11 Minutes ,,21 Savage,,1615234,10/12/2018
11 Minutes ,,21 Savage,,5824988,1/18/2019
11 Minutes ,,21 Savage,,4420565,1/18/2019
11 Minutes ,,21 Savage,,2565355,1/18/2019
13 Beaches,,21 Savage,,2042090,1/18/2019
1400 / 999 Freestyle,,21 Savage,,1639434,1/18/2019
1400 / 999 Freestyle,,21 Savage,,1507866,1/18/2019
1400 / 999 Freestyle,,21 Savage,Future,3715718,1/13/2017
1400 / 999 Freestyle,,21 Savage,,3523362,1/13/2017
1400 / 999 Freestyle,,21 Savage,,3715475,2/16/2018
1400 / 999 Freestyle,,21 Savage,,1742937,2/16/2018
1400 / 999 Freestyle,,21 Savage,,4036568,2/2/2018
1400 / 999 Freestyle,,21 Savage,,1894058,2/2/2018
1400 / 999 Freestyle,,21 Savage,Future,1393093,2/2/2018
1400 / 999 Freestyle,,21 Savage,Future,3522942,12/30/2016
1400 / 999 Freestyle,,21 Savage,,3388778,12/30/2016
1400 / 999 Freestyle,,21 Savage,,6723155,3/8/2019
1400 / 999 Freestyle,,21 Savage,,1735511,3/8/2019
1400 / 999 Freestyle,,21 Savage,Future,3145425,3/3/2017
1400 / 999 Freestyle,,21 Savage,,3141899,3/3/2017
1400 / 999 Freestyle,,21 Savage,Future,2715027,3/17/2017
1400 / 999 Freestyle,,21 Savage,,2654457,3/17/2017
1400 / 999 Freestyle,,21 Savage,Future,3751877,1/6/2017
16 Lines,,21 Savage,,3265130,1/6/2017
1-800-273-8255,,21 Savage,,6207131,11/17/2017
1-800-273-8255,,21 Savage,,4724710,11/17/2017
1-800-273-8255,,21 Savage,,2084062,11/17/2017
1-800-273-8255,,21 Savage,,1790652,11/17/2017
1-800-273-8255,,21 Savage,Future,1563601,11/17/2017
1-800-273-8255,,21 Savage,,1230267,11/17/2017
1-800-273-8255,,21 Savage,,6997831,11/3/2017
1-800-273-8255,,21 Savage,,3778184,11/3/2017
1-800-273-8255,,21 Savage,,2317837,11/3/2017
1-800-273-8255,,21 Savage,,2013646,11/3/2017
1-800-273-8255,,21 Savage,,1742791,11/3/2017
1-800-273-8255,,21 Savage,,1686776,11/3/2017
1-800-273-8255,,21 Savage,Future,1559863,11/3/2017
1-800-273-8255,,21 Savage,,1412166,11/3/2017
1-800-273-8255,,21 Savage,,1254520,11/3/2017
1-800-273-8255,,21 Savage,,1230073,11/3/2017
1-800-273-8255,,21 Savage,,1812250,7/27/2018
1-800-273-8255,,21 Savage,,5702886,1/25/2019
1-800-273-8255,,21 Savage,,3879061,1/25/2019
1-800-273-8255,,21 Savage,,2249440,1/25/2019
1-800-273-8255,,21 Savage,,1770071,1/25/2019
1-800-273-8255,,21 Savage,,5785643,3/22/2019
1-800-273-8255,,21 Savage,,1542391,3/22/2019
1-800-273-8255,,21 Savage,Future,2198948,4/21/2017
1-800-273-8255,,21 Savage,,1734893,4/21/2017
1-800-273-8255,,21 Savage,Future,1571087,6/30/2017
1-800-273-8255,,21 Savage,,1216000,6/30/2017
1-800-273-8255,,21 Savage,,2861648,6/7/2019
1-800-273-8255,,21 Savage,,1657271,9/21/2018
1-800-273-8255,,21 Savage,Future,2060956,5/12/2017
1-800-273-8255,,21 Savage,,1496212,5/12/2017
1-800-273-8255,,21 Savage,,2984967,5/31/2019
1-800-273-8255,,21 Savage,,2818804,4/6/2018
1-800-273-8255,,21 Savage,,5063402,12/22/2017
1-800-273-8255,,21 Savage,,3287514,12/22/2017
1-800-273-8255,,21 Savage,,7589124,10/27/2017
1-800-273-8255,,21 Savage,Future,1580547,10/27/2017
1-800-273-8255,,21 Savage,,2702631,4/13/2018
1-800-273-8255,,21 Savage,,3168679,5/24/2019
1-800-273-8255,,21 Savage,Future,2078117,5/5/2017
1-800-273-8255,,21 Savage,,1555552,5/5/2017
1-800-273-8255,,21 Savage,Future,3252098,2/24/2017
1-800-273-8255,,21 Savage,,3114908,2/24/2017
1-800-273-8255,,21 Savage,,3045961,3/30/2018
1-800-273-8255,,21 Savage,,5124339,7/14/2017
1-800-273-8255,,21 Savage,,3246548,7/14/2017
1-800-273-8255,,21 Savage,,2394996,7/14/2017
1-800-273-8255,,21 Savage,,2127568,7/14/2017
1-800-273-8255,,21 Savage,,1951022,7/14/2017
1-800-273-8255,,21 Savage,,1901673,7/14/2017
1-800-273-8255,,21 Savage,,1693880,7/14/2017
1-800-273-8255,,21 Savage,,1670879,7/14/2017
1-800-273-8255,,21 Savage,Future,1669580,7/14/2017
1-800-273-8255,,21 Savage,,1401537,7/14/2017
1-800-273-8255,,21 Savage,,1373222,7/14/2017
1-800-273-8255,,21 Savage,,1370576,7/14/2017
1-800-273-8255,,21 Savage,,1334124,7/14/2017
1-800-273-8255,,21 Savage,,1306363,7/14/2017
1-800-273-8255,,21 Savage,,1294323,7/14/2017
1-800-273-8255,,21 Savage,,1181094,7/14/2017
1-800-273-8255,,21 Savage,,6616907,7/28/2017
1-800-273-8255,,21 Savage,,2278768,7/28/2017
1-800-273-8255,,21 Savage,Future,1574380,7/28/2017
1-800-273-8255,,21 Savage,,1227236,7/28/2017
1-800-273-8255,,21 Savage,,2242370,6/1/2018
1-800-273-8255,,21 Savage,,2174605,6/15/2018
1-800-273-8255,,21 Savage,,1781969,8/10/2018
1-800-273-8255,,21 Savage,,2057423,6/29/2018
1-800-273-8255,,21 Savage,,5763001,12/8/2017
1-800-273-8255,,21 Savage,,3944194,12/8/2017
1-800-273-8255,,21 Savage,,1444668,12/8/2017
1-800-273-8255,,21 Savage,Future,1427635,12/8/2017
1-800-273-8255,,21 Savage,,3484844,3/9/2018
1-800-273-8255,,21 Savage,,1586140,3/9/2018
1-800-273-8255,,21 Savage,,1564808,11/9/2018
1-800-273-8255,,21 Savage,,8420966,9/29/2017
1-800-273-8255,,21 Savage,Future,1655650,9/29/2017
1-800-273-8255,,21 Savage,,1230669,9/29/2017
1-800-273-8255,,21 Savage,,8244903,9/15/2017
1-800-273-8255,,21 Savage,Future,1625872,9/15/2017
1-800-273-8255,,21 Savage,,1244543,9/15/2017
1-800-273-8255,,21 Savage,,8527436,9/1/2017
1-800-273-8255,,21 Savage,Future,1528034,9/1/2017
1-800-273-8255,,21 Savage,,1405390,9/1/2017
1942 Flows,,21 Savage,,7538952,10/20/2017
1942 Flows,,21 Savage,Future,1614287,10/20/2017
1985 - Intro to “The Fall Off”,,21 Savage,,1251791,10/20/2017
1985 - Intro to “The Fall Off”,,21 Savage,,4451280,1/19/2018
1985 - Intro to “The Fall Off”,,21 Savage,,2628510,1/19/2018
1985 - Intro to “The Fall Off”,,21 Savage,Future,1389072,1/19/2018
1985 - Intro to “The Fall Off”,,21 Savage,,6431747,2/1/2019
1985 - Intro to “The Fall Off”,,21 Savage,,3093442,2/1/2019
1985 - Intro to “The Fall Off”,,21 Savage,,2023745,2/1/2019
2 Vaults ,,21 Savage,,1720799,2/1/2019
2 Vaults ,,21 Savage,,9097281,2/15/2019
2 Vaults ,,21 Savage,,2410999,2/15/2019
2 Vaults ,,21 Savage,,1714962,2/15/2019
20 Min,,21 Savage,,1631797,2/15/2019
20 Min,,21 Savage,,1611967,2/15/2019
20 Min,,21 Savage,,1691487,8/17/2018
20 Min,,21 Savage,,1808326,8/3/2018
20 Min,,21 Savage,Future,1561990,7/7/2017
20 Min,,21 Savage,,1208950,7/7/2017
20 Min,,21 Savage,,1533910,11/23/2018
20 Min,,21 Savage,,4300419,1/26/2018
20 Min,,21 Savage,,2249597,1/26/2018
20 Min,,21 Savage,Future,1397926,1/26/2018
200 Mph,,21 Savage,,3111357,3/23/2018
24/7 ,,21 Savage,,1389308,3/23/2018
24K Magic,,21 Savage,,3778188,5/10/2019
24K Magic,,21 Savage,,2583814,4/27/2018
24K Magic,,21 Savage,,2030301,6/22/2018
24K Magic,,21 Savage,,7739160,10/6/2017
24K Magic,,21 Savage,Future,1697944,10/6/2017
24K Magic,,21 Savage,,1295682,10/6/2017
24K Magic,,21 Savage,,7434029,10/13/2017
24K Magic,,21 Savage,Future,1655678,10/13/2017
24K Magic,,21 Savage,,1223074,10/13/2017
24K Magic,,21 Savage,Future,1763732,5/26/2017
24K Magic,,21 Savage,,1357835,5/26/2017
24K Magic,,21 Savage,,1718944,8/24/2018
24K Magic,,21 Savage,,4915060,7/21/2017
24K Magic,,21 Savage,,2700435,7/21/2017
24K Magic,,21 Savage,Future,1608359,7/21/2017
24K Magic,,21 Savage,,1398708,7/21/2017
24K Magic,,21 Savage,,1339058,7/21/2017
24K Magic,,21 Savage,,1300721,7/21/2017
24K Magic,,21 Savage,,1106044,7/21/2017
24K Magic,,21 Savage,,1721182,8/31/2018
24K Magic,,21 Savage,,2164875,6/8/2018
24K Magic,,21 Savage,,5845017,12/1/2017
24K Magic,,21 Savage,,3873297,12/1/2017
24K Magic,,21 Savage,,1530453,12/1/2017
24K Magic,,21 Savage,,1382817,12/1/2017
24K Magic,,21 Savage,Future,1370078,12/1/2017
24K Magic,,21 Savage,,5262314,12/15/2017
24K Magic,,21 Savage,,3609134,12/15/2017
24K Magic,,21 Savage,Future,1434170,12/15/2017
24K Magic,,21 Savage,,4696762,12/29/2017
24K Magic,,21 Savage,,2522163,12/29/2017
24K Magic,,21 Savage,Future,1960804,5/19/2017
24K Magic,,21 Savage,,1433313,5/19/2017
24K Magic,,21 Savage,Future,3854719,2/10/2017
24K Magic,,21 Savage,,3169384,2/10/2017
24K Magic,,21 Savage,,4589775,1/5/2018
24K Magic,,21 Savage,,2498799,1/5/2018
2U ,,21 Savage,Future,1282085,1/5/2018
2U ,,21 Savage,,8510335,9/8/2017
2U ,,21 Savage,Future,1553529,9/8/2017
2U ,,21 Savage,,1285996,9/8/2017
2U ,,21 Savage,,8351485,2/22/2019
2U ,,21 Savage,,2139027,2/22/2019
2U ,,21 Savage,,1527359,2/22/2019
2U ,,21 Savage,,1526416,2/22/2019
2U ,,21 Savage,,2632058,4/20/2018
2U ,,21 Savage,,3283391,5/17/2019
2U ,,21 Savage,,3829563,5/3/2019
2U ,,21 Savage,Future,3583756,2/17/2017
2U ,,21 Savage,,3079799,2/17/2017
2U ,,21 Savage,Future,3832062,2/3/2017
2U ,,21 Savage,,3426445,2/3/2017
2U ,,21 Savage,,8472803,2/8/2019
3 Headed Snake ,,21 Savage,,2754998,2/8/2019
3 Nights,,21 Savage,,2053460,2/8/2019
3 Nights,,21 Savage,,1710562,2/8/2019
3 Nights,,21 Savage,,1682317,2/8/2019
3 Nights,,21 Savage,,4419534,1/12/2018
3 Nights,,21 Savage,,2603261,1/12/2018
3 Nights,,21 Savage,Future,1317977,1/12/2018
3 Nights,,21 Savage,,8238551,9/22/2017
3 Nights,,21 Savage,Future,1717106,9/22/2017
3 Nights,,21 Savage,,1257342,9/22/2017
3 Nights,,21 Savage,,1231022,9/22/2017
3 Nights,,21 Savage,,1501090,11/16/2018
3 Nights,,21 Savage,,1598488,11/2/2018
3 Nights,,21 Savage,,2410010,7/5/2019
31 DAYS,,21 Savage,,3591667,3/2/2018
4 da Gang,,21 Savage,,1631228,3/2/2018
4 Phones,,21 Savage,,3226576,3/16/2018
4 Your Eyez Only,,21 Savage,,1437370,3/16/2018
4 Your Eyez Only,,21 Savage,,1597259,10/19/2018
4 Your Eyez Only,,21 Savage,,7333425,8/4/2017
4 Your Eyez Only,,21 Savage,,1989739,8/4/2017
420 Freestyle,,21 Savage,Future,1527419,8/4/2017
44 More,,21 Savage,,1191571,8/4/2017
44 More,,21 Savage,Future,3818796,1/20/2017
44 More,,21 Savage,,3554550,1/20/2017
44 More,,21 Savage,Future,2485390,3/31/2017
44 More,,21 Savage,,2129558,3/31/2017
44 More,,21 Savage,,2436514,5/4/2018
44 More,,21 Savage,,4011672,4/26/2019
44 More,,21 Savage,,2463277,5/11/2018
44 More,,21 Savage,Future,2569006,3/24/2017
44 More,,21 Savage,,2392635,3/24/2017
44 More,,21 Savage,,8198664,8/11/2017
44 More,,21 Savage,,1886195,8/11/2017
44 More,,21 Savage,Future,1517462,8/11/2017
444+222,,21 Savage,,1196532,8/11/2017
444+222,,21 Savage,,6343725,11/24/2017
444+222,,21 Savage,,4147465,11/24/2017
444+222,,21 Savage,,1704499,11/24/2017
444+222,,21 Savage,Future,1514894,11/24/2017
444+222,,21 Savage,,1488600,11/24/2017
4L,,21 Savage,,2716582,6/21/2019
4th Dimension,,21 Savage,,1656810,9/7/2018
4th Dimension,,21 Savage,,1574769,10/26/2018
4th Dimension,,21 Savage,Future,1816549,6/2/2017
5% TINT,,21 Savage,,1422524,6/2/2017
5% TINT,,21 Savage,Future,1672186,6/16/2017
5% TINT,,21 Savage,,1375647,6/16/2017
5% TINT,,21 Savage,Future,2401405,4/7/2017
5% TINT,,21 Savage,,2006212,4/7/2017
6 Inch ,,21 Savage,,4359164,4/19/2019
6 Summers,,21 Savage,,5842884,1/11/2019
65th & Ingleside,,21 Savage,,4798501,1/11/2019
65th & Ingleside,,21 Savage,,2949781,1/11/2019
7 Am Freestyle,,21 Savage,,2235106,1/11/2019
7 Min Freestyle,,21 Savage,,1684605,1/11/2019
7 rings,,21 Savage,,1600459,1/11/2019
7 rings,,21 Savage,,1598966,1/11/2019
7 rings,,21 Savage,,1581642,1/11/2019
7 rings,,21 Savage,,1841625,7/13/2018
7 rings,,21 Savage,,3621821,2/23/2018
7 rings,,21 Savage,,1638944,2/23/2018
7 rings,,21 Savage,,5429219,3/29/2019
7 rings,,21 Savage,,6144150,3/15/2019
7 rings,,21 Savage,,1629565,3/15/2019
7 rings,,21 Savage,,7527219,3/1/2019
7 rings,,21 Savage,,1969468,3/1/2019
7 rings,,21 Savage,Future,3831853,1/27/2017
7 rings,,21 Savage,,3432978,1/27/2017
7 rings,,21 Savage,,1824491,7/6/2018
7 rings,,21 Savage,,5561290,1/4/2019
7 rings,,21 Savage,,4931234,1/4/2019
7 rings,,21 Savage,,3532035,1/4/2019
7 rings,,21 Savage,,2320215,1/4/2019
7 rings,,21 Savage,,1848760,1/4/2019
7 rings,,21 Savage,,1798753,1/4/2019
7 rings,,21 Savage,,1755039,1/4/2019
7 rings,,21 Savage,,1537827,1/4/2019
7 rings,,21 Savage,,1523780,1/4/2019
7 rings,,21 Savage,,1498516,1/4/2019
7 Years,,21 Savage,,1495588,1/4/2019
7 Years,,21 Savage,,1383658,1/4/2019
7 Years,,21 Savage,,3868968,2/9/2018
7 Years,,21 Savage,,1799414,2/9/2018
7 Years,,21 Savage,Future,2131206,4/28/2017
7 Years,,21 Savage,,1607641,4/28/2017
7 Years,,21 Savage,Future,2420643,4/14/2017
7 Years,,21 Savage,,1941930,4/14/2017
8 Letters,,21 Savage,,1661016,9/28/2018
8 Letters,,21 Savage,,1649659,9/14/2018
8 Letters,,22 Savage,,2423164,11/17/2017
8 Letters,,22 Savage,,2559332,11/24/2017
8 Letters,,5 Seconds of Summer,,5476526,7/20/2018
8 Out Of 10,,5 Seconds of Summer,,3414892,5/25/2018
8 Out Of 10,,5 Seconds of Summer,,2194510,4/12/2019
8 Out Of 10,,5 Seconds of Summer,,3301305,5/18/2018
8 Out Of 10,,5 Seconds of Summer,,2852831,12/14/2018
8 Out Of 10,,5 Seconds of Summer,,2417864,12/28/2018
8TEEN,,5 Seconds of Summer,,3514921,10/5/2018
8TEEN,,5 Seconds of Summer,,3331039,6/14/2019
8TEEN,,5 Seconds of Summer,,2041779,6/14/2019
8TEEN,,5 Seconds of Summer,,2578390,6/28/2019
8TEEN,,5 Seconds of Summer,,1938645,6/28/2019
8TEEN,,5 Seconds of Summer,,2301492,4/5/2019
8TEEN,,5 Seconds of Summer,,3381469,10/12/2018
8TEEN,,5 Seconds of Summer,,2835202,1/18/2019
8TEEN,,5 Seconds of Summer,,2645864,12/7/2018
8TEEN,,5 Seconds of Summer,,2392988,3/8/2019
8TEEN,,5 Seconds of Summer,,5190258,7/27/2018
8TEEN,,5 Seconds of Summer,,2674784,1/25/2019
8TEEN,,5 Seconds of Summer,Julia Michaels,2077585,1/25/2019
8TEEN,,5 Seconds of Summer,,2417587,3/22/2019
8TEEN,,5 Seconds of Summer,,4109512,6/7/2019
8TEEN,,5 Seconds of Summer,,2074850,6/7/2019
8TEEN,,5 Seconds of Summer,,3694455,9/21/2018
8TEEN,,5 Seconds of Summer,,4495837,5/31/2019
8TEEN,,5 Seconds of Summer,,2174219,5/31/2019
8TEEN,,5 Seconds of Summer,,2027092,5/24/2019
911 / Mr. Lonely,,5 Seconds of Summer,,2657163,11/30/2018
911 / Mr. Lonely,,5 Seconds of Summer,,3867198,6/1/2018
911 / Mr. Lonely,,5 Seconds of Summer,,4763139,6/15/2018
911 / Mr. Lonely,,5 Seconds of Summer,,4709550,8/10/2018
911 / Mr. Lonely,,5 Seconds of Summer,,4945076,6/29/2018
911 / Mr. Lonely,,5 Seconds of Summer,,2151192,3/9/2018
911 / Mr. Lonely,,5 Seconds of Summer,,2980326,11/9/2018
92 Explorer,,5 Seconds of Summer,,2542418,2/1/2019
92 Explorer,,5 Seconds of Summer,Julia Michaels,2048931,2/1/2019
92 Explorer,,5 Seconds of Summer,,2619986,2/15/2019
92 Explorer,,5 Seconds of Summer,Julia Michaels,1855774,2/15/2019
92 Explorer,,5 Seconds of Summer,,4671139,8/17/2018
92 Explorer,,5 Seconds of Summer,,4833253,8/3/2018
92 Explorer,,5 Seconds of Summer,,2986191,11/23/2018
92 Explorer,,5 Seconds of Summer,,1525284,3/23/2018
92 Explorer,,5 Seconds of Summer,,2040928,5/10/2019
92 Explorer,,5 Seconds of Summer,,2217337,4/27/2018
92 Explorer,,5 Seconds of Summer,,6162302,6/22/2018
92 Explorer,,5 Seconds of Summer,,1668606,6/22/2018
92 Explorer,,5 Seconds of Summer,,4670130,8/24/2018
92 Explorer,,5 Seconds of Summer,,4433395,8/31/2018
92 Explorer,,5 Seconds of Summer,,4513027,6/8/2018
A BOY IS A GUN*,,5 Seconds of Summer,,2480673,2/22/2019
A BOY IS A GUN*,,5 Seconds of Summer,,1641850,4/20/2018
A BOY IS A GUN*,,5 Seconds of Summer,,1971965,5/17/2019
